date,newcases,deaths
7/7/2021,465176,8555
7/8/2021,481763,8920
7/9/2021,513109,8414
7/10/2021,421867,7289
7/11/2021,370471,7639
7/12/2021,432330,8104
7/13/2021,525502,8383
7/14/2021,537778,8597
7/15/2021,576218,8636
7/16/2021,595656,8761
7/17/2021,490238,7532
7/18/2021,421056,6605
7/19/2021,486346,7201
7/20/2021,532138,11916
7/21/2021,555818,8666
7/22/2021,564932,8780
7/23/2021,727932,8331
7/24/2021,492981,8692
7/25/2021,446824,7384
7/26/2021,537175,8474
7/27/2021,606148,9791
7/28/2021,649942,10125
7/29/2021,642749,10265
7/30/2021,732265,9604
7/31/2021,519553,8864
8/1/2021,485051,7418
8/2/2021,566561,8100
8/3/2021,634110,10352
8/4/2021,680485,10494
8/5/2021,685511,10991
8/6/2021,819378,10476
8/7/2021,564368,8700
8/8/2021,470765,7496
8/9/2021,612722,8798
8/10/2021,645591,11528
8/11/2021,730735,10523
8/12/2021,705641,10513
8/13/2021,801886,10471
8/14/2021,558431,8743
8/15/2021,471327,7451
8/16/2021,653936,9844
8/17/2021,682531,10707
8/18/2021,735680,10820
8/19/2021,711577,11453
8/20/2021,785307,10500
8/21/2021,567010,8937
8/22/2021,455037,7783
8/23/2021,668914,10034
8/24/2021,676685,11023
8/25/2021,737415,11316
8/26/2021,736365,11595
8/27/2021,751089,10411
8/28/2021,567464,8455
8/29/2021,455154,6836
8/30/2021,653107,9535
8/31/2021,620499,9598
9/1/2021,719258,12422
9/2/2021,678318,11207
9/3/2021,723653,10726
9/4/2021,507417,7791
9/5/2021,457317,6600
9/6/2021,456405,8112
9/7/2021,656399,10469
9/8/2021,637802,10097
9/9/2021,640066,10750
9/10/2021,658812,9185
9/11/2021,479566,8415
9/12/2021,378660,5672
9/13/2021,559350,9108
9/14/2021,549732,9910
9/15/2021,568193,10433
9/16/2021,587284,10520
9/17/2021,623268,9053
9/18/2021,407791,6553
9/19/2021,370687,6130
9/20/2021,513962,8301
9/21/2021,488602,9359
9/22/2021,535046,9723
9/23/2021,547560,9848
9/24/2021,549288,8698
9/25/2021,381234,5540
9/26/2021,363536,5559
9/27/2021,467797,7689
9/28/2021,450877,9376
9/29/2021,491067,9295
9/30/2021,489811,8878
10/1/2021,522042,8634
10/2/2021,359091,5982
10/3/2021,315182,4369
10/4/2021,432401,7165
10/5/2021,422747,7372
10/6/2021,507120,9135
10/7/2021,461732,8969
10/8/2021,475463,7773
10/9/2021,348978,4887
10/10/2021,324001,4782
10/11/2021,371507,5875
10/12/2021,438105,7978
10/13/2021,456461,8906
10/14/2021,454369,8009
10/15/2021,458030,7206
10/16/2021,352213,5419
10/17/2021,321910,4378
10/18/2021,408131,6508
10/19/2021,431484,7987
10/20/2021,476328,8669
10/21/2021,461934,7760
10/22/2021,492818,8170
10/23/2021,385289,5973
10/24/2021,322867,4663
10/25/2021,423483,6793
10/26/2021,426348,7742
10/27/2021,514001,9144
10/28/2021,482925,8932
10/29/2021,494124,7820
10/30/2021,395992,6091
10/31/2021,365623,4668
11/1/2021,419156,6367
11/2/2021,404290,7057
11/3/2021,524771,8465
11/4/2021,517384,7570
11/5/2021,524230,8585
11/6/2021,439601,6784
11/7/2021,364128,4652
11/8/2021,467401,6644
11/9/2021,469231,8005
11/10/2021,573551,8270
11/11/2021,521029,7674
11/12/2021,599604,9001
11/13/2021,440594,6517
11/14/2021,381548,4781
11/15/2021,522890,6841
11/16/2021,506689,7615
11/17/2021,615165,9160
11/18/2021,621435,8291
11/19/2021,614504,7981
11/20/2021,501698,6276
11/21/2021,422240,4712
11/22/2021,597926,7132
11/23/2021,574877,8026
11/24/2021,657333,8570
11/25/2021,597351,7854
11/26/2021,613385,6895
11/27/2021,485651,6168
11/28/2021,433979,5006
11/29/2021,630656,7521
11/30/2021,600104,8030
12/1/2021,702102,9247
12/2/2021,707300,10107
12/3/2021,730519,8591
12/4/2021,536585,5896
12/5/2021,461484,7512
12/6/2021,597172,6990
12/7/2021,638966,7728
12/8/2021,711133,8299
12/9/2021,698029,8570
12/10/2021,693409,8013
12/11/2021,520398,6345
12/12/2021,458980,4724
12/13/2021,607510,6296
12/14/2021,636493,7739
12/15/2021,740099,9028
12/16/2021,743848,7346
12/17/2021,767429,7300
12/18/2021,572413,6082
12/19/2021,514065,4525
12/20/2021,737791,6690
12/21/2021,758348,7498
12/22/2021,914384,10371
12/23/2021,1011487,7258
12/24/2021,891139,6063
12/25/2021,703779,4470
12/26/2021,585584,3917
12/27/2021,1273790,6354
12/28/2021,1335893,7684
12/29/2021,1704484,7952
12/30/2021,1948717,7424
12/31/2021,1743361,6097
1/1/2022,1228725,4455
1/2/2022,930539,3398
