rdate,Y,M,D,doy,time,datestr1,datestr2,datestr3,ndvi,blue,green,red,nir,swir1,swir2,sensor
1/5/1990,1990,1,5,5,1990.012329,LT4-1990-01-05,LT4-1990005ndvi,"1990,, 1/  5",0.424135935,425.8323669,604.9517822,734.7781372,1817.137085,1687.948853,979.461731,LT4
4/27/1990,1990,4,27,117,1990.319178,LT4-1990-04-27,LT4-1990117ndvi,"1990,, 4/ 27",0.512171962,558.1712646,780.229187,791.9107056,2454.769043,2257.780273,1320.610596,LT4
6/30/1990,1990,6,30,181,1990.494521,LT4-1990-06-30,LT4-1990181ndvi,"1990,, 6/ 30",0.782925224,596.1021729,764.9032593,545.0839844,4477.000977,1964.818726,804.892395,LT4
7/16/1990,1990,7,16,197,1990.538356,LT4-1990-07-16,LT4-1990197ndvi,"1990,, 7/ 16",0.837018908,298.5092773,475.8052979,336.8362427,3796.603271,1637.090698,627.7608032,LT4
8/17/1990,1990,8,17,229,1990.626027,LT4-1990-08-17,LT4-1990229ndvi,"1990,, 8/ 17",0.806944322,478.9942017,661.6797485,422.8666077,3957.906982,1649.959106,620.8573608,LT4
10/20/1990,1990,10,20,293,1990.80137,LT4-1990-10-20,LT4-1990293ndvi,"1990,, 10/ 20",0.546477196,609.47229,810.3343506,784.2558594,2674.250977,1839.879395,940.4435425,LT4
1/8/1991,1991,1,8,8,1991.020548,LT4-1991-01-08,LT4-1991008ndvi,"1991,, 1/  8",0.289957326,590.2748413,725.4560547,915.1369019,1662.558594,1443.321777,950.9026489,LT4
6/1/1991,1991,6,1,152,1991.415068,LT4-1991-06-01,LT4-1991152ndvi,"1991,, 6/  1",0.835867063,256.7185364,434.3093262,291.9436951,3265.46167,1127.124756,408.5325928,LT4
6/17/1991,1991,6,17,168,1991.458904,LT4-1991-06-17,LT4-1991168ndvi,"1991,, 6/ 17",0.835065901,253.3470764,416.0220642,317.852356,3536.442871,1345.338501,530.7449951,LT4
7/19/1991,1991,7,19,200,1991.546575,LT4-1991-07-19,LT4-1991200ndvi,"1991,, 7/ 19",0.770730016,535.9287109,690.4368286,517.9528198,4000.325684,1843.505615,738.006958,LT4
8/4/1991,1991,8,4,216,1991.590411,LT4-1991-08-04,LT4-1991216ndvi,"1991,, 8/  4",0.720978603,624.2412109,831.0423584,653.9380493,4033.43042,1914.808594,790.1898804,LT4
9/5/1991,1991,9,5,248,1991.678082,LT4-1991-09-05,LT4-1991248ndvi,"1991,, 9/  5",0.787574265,277.3317261,457.644043,362.6795044,3051.968018,1516.468018,614.0070801,LT4
9/21/1991,1991,9,21,264,1991.721918,LT4-1991-09-21,LT4-1991264ndvi,"1991,, 9/ 21",0.703002673,532.2554932,716.6679688,629.5350952,3609.796631,2042.874756,914.15979,LT4
10/23/1991,1991,10,23,296,1991.809589,LT4-1991-10-23,LT4-1991296ndvi,"1991,, 10/ 23",0.454336285,566.7722168,746.925415,854.7120361,2278.030762,1809.748169,875.8779907,LT4
12/10/1991,1991,12,10,344,1991.941096,LT4-1991-12-10,LT4-1991344ndvi,"1991,, 12/ 10",0.301375581,580.5836182,672.2713623,777.5252075,1448.349487,1597.036499,947.9209595,LT4
2/12/1992,1992,2,12,43,1992.116438,LT4-1992-02-12,LT4-1992043ndvi,"1992,, 2/ 12",0.249706606,849.4380493,1020.793396,1203.800781,2005.079346,1789.081177,1168.829346,LT4
6/3/1992,1992,6,3,155,1992.423288,LT4-1992-06-03,LT4-1992155ndvi,"1992,, 6/  3",0.770653228,473.680542,746.2977295,524.6607666,4050.601074,1642.554932,661.6501465,LT4
8/6/1992,1992,8,6,219,1992.59863,LT4-1992-08-06,LT4-1992219ndvi,"1992,, 8/  6",0.831954274,283.4853821,465.920166,332.4976807,3624.730957,1497.824341,566.1289673,LT4
8/22/1992,1992,8,22,235,1992.642466,LT4-1992-08-22,LT4-1992235ndvi,"1992,, 8/ 22",0.79510902,431.9408569,626.9188232,461.771637,4045.7146,1644.297241,611.8261108,LT4
10/9/1992,1992,10,9,283,1992.773973,LT4-1992-10-09,LT4-1992283ndvi,"1992,, 10/  9",0.694772143,410.0632324,616.1488647,546.539978,3034.65332,1401.270386,559.6103516,LT4
6/6/1993,1993,6,6,157,1993.428767,LT4-1993-06-06,LT4-1993157ndvi,"1993,, 6/  6",0.831480464,302.6252747,509.1591187,383.4294434,4167.134277,1705.623657,686.7724609,LT4
7/8/1993,1993,7,8,189,1993.516438,LT4-1993-07-08,LT4-1993189ndvi,"1993,, 7/  8",0.8655499,227.1083832,429.327301,284.8633118,3952.594482,1591.190552,574.6950073,LT4
7/24/1993,1993,7,24,205,1993.560274,LT4-1993-07-24,LT4-1993205ndvi,"1993,, 7/ 24",0.640495206,710.050293,941.9586182,820.7445068,3745.228027,1926.839844,1028.204712,LT4
8/9/1993,1993,8,9,221,1993.60411,LT4-1993-08-09,LT4-1993221ndvi,"1993,, 8/  9",0.804702266,325.8007507,492.9289246,387.1869812,3577.907471,1631.750732,658.8469238,LT4
9/10/1993,1993,9,10,253,1993.691781,LT4-1993-09-10,LT4-1993253ndvi,"1993,, 9/ 10",0.781286882,335.0184326,473.8900146,371.2842102,3023.886719,1378.318604,528.0628662,LT4
